layer,group,shape,rank
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.cpb_mlp.2,other,"(8, 512)",8
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.qkv.base_layer,qkv,"(1056, 352)",352
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.qkv.lora_A.default,qkv,"(8, 352)",8
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.qkv.lora_B.default,qkv,"(1056, 8)",0
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.proj,proj,"(352, 352)",351
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.base_layer,ffn,"(1408, 352)",352
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.lora_A.default,ffn,"(8, 352)",8
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.lora_B.default,ffn,"(1408, 8)",0
base_model.model.backbone.stages.0.blocks.0.ffn.layers.1,ffn,"(352, 1408)",352
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.cpb_mlp.2,other,"(8, 512)",8
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.qkv.base_layer,qkv,"(1056, 352)",352
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.qkv.lora_A.default,qkv,"(8, 352)",8
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.qkv.lora_B.default,qkv,"(1056, 8)",0
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.proj,proj,"(352, 352)",352
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.base_layer,ffn,"(1408, 352)",352
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.lora_A.default,ffn,"(8, 352)",8
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.lora_B.default,ffn,"(1408, 8)",0
base_model.model.backbone.stages.0.blocks.1.ffn.layers.1,ffn,"(352, 1408)",352
base_model.model.backbone.stages.1.downsample.reduction,other,"(704, 1408)",704
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.cpb_mlp.2,other,"(16, 512)",16
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.qkv.base_layer,qkv,"(2112, 704)",704
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.qkv.lora_A.default,qkv,"(8, 704)",8
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.qkv.lora_B.default,qkv,"(2112, 8)",0
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.proj,proj,"(704, 704)",702
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.base_layer,ffn,"(2816, 704)",704
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.lora_A.default,ffn,"(8, 704)",8
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.lora_B.default,ffn,"(2816, 8)",0
base_model.model.backbone.stages.1.blocks.0.ffn.layers.1,ffn,"(704, 2816)",704
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.cpb_mlp.2,other,"(16, 512)",16
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.qkv.base_layer,qkv,"(2112, 704)",704
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.qkv.lora_A.default,qkv,"(8, 704)",8
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.qkv.lora_B.default,qkv,"(2112, 8)",0
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.proj,proj,"(704, 704)",702
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.base_layer,ffn,"(2816, 704)",704
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.lora_A.default,ffn,"(8, 704)",8
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.lora_B.default,ffn,"(2816, 8)",0
base_model.model.backbone.stages.1.blocks.1.ffn.layers.1,ffn,"(704, 2816)",704
base_model.model.backbone.stages.2.downsample.reduction,other,"(1408, 2816)",1408
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.proj,proj,"(1408, 1408)",1402
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.0.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.proj,proj,"(1408, 1408)",1402
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.1.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.proj,proj,"(1408, 1408)",1403
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.2.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.proj,proj,"(1408, 1408)",1403
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.3.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.proj,proj,"(1408, 1408)",1405
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.4.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.proj,proj,"(1408, 1408)",1404
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.5.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.proj,proj,"(1408, 1408)",1405
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.6.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.proj,proj,"(1408, 1408)",1404
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.7.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.proj,proj,"(1408, 1408)",1406
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.8.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.proj,proj,"(1408, 1408)",1404
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.9.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.proj,proj,"(1408, 1408)",1405
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.10.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.proj,proj,"(1408, 1408)",1404
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.11.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.proj,proj,"(1408, 1408)",1404
base_model.model.backbone.stages.2.blocks.12.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.12.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.12.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.12.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.proj,proj,"(1408, 1408)",1403
base_model.model.backbone.stages.2.blocks.13.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.13.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.13.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.13.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.proj,proj,"(1408, 1408)",1405
base_model.model.backbone.stages.2.blocks.14.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.14.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.14.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.14.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.proj,proj,"(1408, 1408)",1404
base_model.model.backbone.stages.2.blocks.15.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.15.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.15.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.15.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.proj,proj,"(1408, 1408)",1403
base_model.model.backbone.stages.2.blocks.16.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.16.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.16.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.16.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.proj,proj,"(1408, 1408)",1399
base_model.model.backbone.stages.2.blocks.17.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.17.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.17.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.17.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.3.downsample.reduction,other,"(2816, 5632)",2816
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.cpb_mlp.2,other,"(64, 512)",64
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.qkv.base_layer,qkv,"(8448, 2816)",2816
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.qkv.lora_A.default,qkv,"(8, 2816)",8
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.qkv.lora_B.default,qkv,"(8448, 8)",0
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.proj,proj,"(2816, 2816)",2790
base_model.model.backbone.stages.3.blocks.0.ffn.layers.0.0.base_layer,ffn,"(11264, 2816)",2816
base_model.model.backbone.stages.3.blocks.0.ffn.layers.0.0.lora_A.default,ffn,"(8, 2816)",8
base_model.model.backbone.stages.3.blocks.0.ffn.layers.0.0.lora_B.default,ffn,"(11264, 8)",0
base_model.model.backbone.stages.3.blocks.0.ffn.layers.1,ffn,"(2816, 11264)",2813
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.cpb_mlp.2,other,"(64, 512)",64
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.qkv.base_layer,qkv,"(8448, 2816)",2816
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.qkv.lora_A.default,qkv,"(8, 2816)",8
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.qkv.lora_B.default,qkv,"(8448, 8)",0
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.proj,proj,"(2816, 2816)",2795
base_model.model.backbone.stages.3.blocks.1.ffn.layers.0.0.base_layer,ffn,"(11264, 2816)",2816
base_model.model.backbone.stages.3.blocks.1.ffn.layers.0.0.lora_A.default,ffn,"(8, 2816)",8
base_model.model.backbone.stages.3.blocks.1.ffn.layers.0.0.lora_B.default,ffn,"(11264, 8)",0
base_model.model.backbone.stages.3.blocks.1.ffn.layers.1,ffn,"(2816, 11264)",2810
base_model.model.classifier,other,"(45, 2816)",45
