layer,group,shape,stable_rank,dim_30,dim_50,dim_70,dim_90,dim_95,total_rank_max,frob_norm,spectral_norm
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9034959077835083,1,1,2,2,2,2,13.222004890441895,9.5834379196167
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.cpb_mlp.2,other,"(32, 512)",21.73097801208496,8,13,20,28,30,32,3.2760097980499268,0.7027575969696045
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",567.9205322265625,211,397,644,1024,1174,1408,37.526275634765625,1.5746777057647705
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.1727519035339355,3,4,6,8,8,8,1.6296051740646362,0.6084704399108887
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.proj,proj,"(1408, 1408)",357.1838684082031,134,257,426,718,858,1408,21.654659271240234,1.1457910537719727
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",625.3424072265625,231,431,691,1072,1212,1408,43.32883834838867,1.7326788902282715
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.0071611404418945,3,4,6,8,8,8,1.6348129510879517,0.6175854206085205
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.8.ffn.layers.1,ffn,"(1408, 5632)",628.751953125,231,432,691,1072,1212,1408,21.669103622436523,0.8641741275787354
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9186912775039673,1,1,2,2,2,2,12.856491088867188,9.281537055969238
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.cpb_mlp.2,other,"(32, 512)",21.034820556640625,8,13,20,27,30,32,3.2723631858825684,0.7134969234466553
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",567.565673828125,211,398,645,1025,1174,1408,37.52488327026367,1.5751115083694458
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.089953422546387,3,4,6,8,8,8,1.6268033981323242,0.610960841178894
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.proj,proj,"(1408, 1408)",354.95672607421875,134,256,426,719,859,1408,21.66373062133789,1.1498615741729736
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",623.60595703125,231,431,691,1072,1212,1408,43.32836151123047,1.7350705862045288
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.1920247077941895,3,4,6,8,8,8,1.6343406438827515,0.6094204187393188
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.9.ffn.layers.1,ffn,"(1408, 5632)",628.1768798828125,231,432,692,1073,1212,1408,21.66605567932129,0.8644480109214783
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9041697978973389,1,1,2,2,2,2,13.051830291748047,9.458419799804688
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.cpb_mlp.2,other,"(32, 512)",20.52829933166504,8,13,20,28,30,32,3.266538381576538,0.7209601998329163
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",568.6297607421875,211,398,644,1025,1174,1408,37.52909851074219,1.573813796043396
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.1102070808410645,3,4,6,8,8,8,1.6300163269042969,0.6112949848175049
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.proj,proj,"(1408, 1408)",350.81561279296875,134,256,426,718,858,1408,21.67059898376465,1.1569949388504028
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",624.7255249023438,231,432,692,1072,1212,1408,43.32603073120117,1.7334219217300415
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.183654308319092,3,4,6,8,8,8,1.6273499727249146,0.60716712474823
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.10.ffn.layers.1,ffn,"(1408, 5632)",629.047119140625,231,432,692,1073,1213,1408,21.671096801757812,0.8640508055686951
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9548182487487793,1,1,2,2,2,2,13.186826705932617,9.43163776397705
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.cpb_mlp.2,other,"(32, 512)",20.837841033935547,8,13,20,28,30,32,3.2641406059265137,0.7150599956512451
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",567.0457763671875,211,398,644,1024,1174,1408,37.516265869140625,1.5754715204238892
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.261275768280029,3,4,6,8,8,8,1.6315064430236816,0.6054556369781494
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.proj,proj,"(1408, 1408)",350.4508972167969,134,256,425,718,858,1408,21.662330627441406,1.157155156135559
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",625.0394287109375,231,432,692,1072,1212,1408,43.31789016723633,1.7326610088348389
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.221682548522949,3,4,6,8,8,8,1.6314908266067505,0.6071072816848755
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.11.ffn.layers.1,ffn,"(1408, 5632)",627.4819946289062,231,431,691,1072,1212,1408,21.661216735839844,0.8647333383560181
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9642143249511719,1,1,2,2,2,2,13.286767959594727,9.480361938476562
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.cpb_mlp.2,other,"(32, 512)",22.108627319335938,8,13,20,28,30,32,3.252706289291382,0.6917735934257507
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",566.1801147460938,211,397,644,1024,1174,1408,37.52347946166992,1.5769785642623901
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.107717990875244,3,4,6,8,8,8,1.6391581296920776,0.6148309707641602
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.proj,proj,"(1408, 1408)",357.6947021484375,134,256,426,718,858,1408,21.658578872680664,1.1451798677444458
base_model.model.backbone.stages.2.blocks.12.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",630.520751953125,231,432,691,1072,1212,1408,43.33945083618164,1.7259719371795654
base_model.model.backbone.stages.2.blocks.12.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.329967498779297,3,4,6,8,8,8,1.6274898052215576,0.6011283993721008
base_model.model.backbone.stages.2.blocks.12.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.12.ffn.layers.1,ffn,"(1408, 5632)",629.2889404296875,231,431,691,1072,1212,1408,21.66448211669922,0.8636211156845093
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.8872421979904175,1,1,2,2,2,2,13.066629409790039,9.511516571044922
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.cpb_mlp.2,other,"(32, 512)",20.850709915161133,8,13,20,28,30,32,3.2648134231567383,0.7149866819381714
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",569.9507446289062,211,398,645,1025,1174,1408,37.533145904541016,1.5721583366394043
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",6.936842441558838,3,4,6,8,8,8,1.6528642177581787,0.6275614500045776
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.proj,proj,"(1408, 1408)",354.6440734863281,134,256,426,717,857,1408,21.659582138061523,1.1501480340957642
base_model.model.backbone.stages.2.blocks.13.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",631.5442504882812,231,432,691,1072,1212,1408,43.324947357177734,1.723995566368103
base_model.model.backbone.stages.2.blocks.13.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.289297580718994,3,4,6,8,8,8,1.6363270282745361,0.6060762405395508
base_model.model.backbone.stages.2.blocks.13.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.13.ffn.layers.1,ffn,"(1408, 5632)",629.9229125976562,231,431,691,1072,1212,1408,21.662824630737305,0.863120436668396
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.927330732345581,1,1,2,2,2,2,12.95959758758545,9.334980010986328
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.cpb_mlp.2,other,"(32, 512)",21.963544845581055,8,13,20,28,30,32,3.25889253616333,0.695374608039856
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",572.2581787109375,211,398,645,1025,1174,1408,37.516624450683594,1.568294882774353
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.015737056732178,3,4,6,8,8,8,1.6314016580581665,0.6159199476242065
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.proj,proj,"(1408, 1408)",352.3852844238281,134,256,425,718,858,1408,21.67384147644043,1.154587984085083
base_model.model.backbone.stages.2.blocks.14.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",628.2817993164062,231,432,691,1072,1212,1408,43.32728958129883,1.7285592555999756
base_model.model.backbone.stages.2.blocks.14.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.203771591186523,3,4,6,8,8,8,1.6489367485046387,0.6143615245819092
base_model.model.backbone.stages.2.blocks.14.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.14.ffn.layers.1,ffn,"(1408, 5632)",631.4613037109375,231,432,692,1073,1212,1408,21.66493034362793,0.8621521592140198
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9471343755722046,1,1,2,2,2,2,12.985005378723145,9.305595397949219
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.cpb_mlp.2,other,"(32, 512)",21.86429214477539,8,13,20,28,30,32,3.266829252243042,0.6986485123634338
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",566.6044311523438,211,397,644,1024,1174,1408,37.53078079223633,1.5766946077346802
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.311624526977539,3,4,6,8,8,8,1.6245783567428589,0.6008052825927734
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.proj,proj,"(1408, 1408)",352.86309814453125,134,256,426,718,858,1408,21.667266845703125,1.1534559726715088
base_model.model.backbone.stages.2.blocks.15.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",630.834716796875,231,431,691,1072,1212,1408,43.32606506347656,1.7250093221664429
base_model.model.backbone.stages.2.blocks.15.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.387460708618164,3,4,6,8,8,8,1.6279594898223877,0.5989574790000916
base_model.model.backbone.stages.2.blocks.15.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.15.ffn.layers.1,ffn,"(1408, 5632)",634.041748046875,231,432,691,1072,1212,1408,21.662282943725586,0.8602908849716187
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9570698738098145,1,1,2,2,2,2,12.952108383178711,9.258428573608398
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.cpb_mlp.2,other,"(32, 512)",21.23545265197754,7,13,20,28,30,32,3.2748048305511475,0.7106481790542603
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",570.4856567382812,211,398,644,1025,1174,1408,37.51163101196289,1.5705204010009766
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.1404242515563965,3,4,6,8,8,8,1.634985089302063,0.6118596196174622
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.proj,proj,"(1408, 1408)",356.7725524902344,134,256,425,718,858,1408,21.662769317626953,1.1468807458877563
base_model.model.backbone.stages.2.blocks.16.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",625.640625,231,431,691,1072,1212,1408,43.33448028564453,1.7324914932250977
base_model.model.backbone.stages.2.blocks.16.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.113565444946289,3,4,6,8,8,8,1.6156469583511353,0.6057630777359009
base_model.model.backbone.stages.2.blocks.16.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.16.ffn.layers.1,ffn,"(1408, 5632)",630.1795654296875,231,432,692,1073,1212,1408,21.662036895751953,0.8629132509231567
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.8142650127410889,1,1,2,2,2,2,13.157085418701172,9.768082618713379
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.cpb_mlp.2,other,"(32, 512)",21.312788009643555,8,13,20,27,30,32,3.2544214725494385,0.7049424052238464
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",568.1942749023438,211,398,645,1025,1174,1408,37.52611541748047,1.574291706085205
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.092258930206299,3,4,6,8,8,8,1.636566162109375,0.6145274043083191
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.proj,proj,"(1408, 1408)",351.28057861328125,134,257,426,718,859,1408,21.66010093688965,1.15566885471344
base_model.model.backbone.stages.2.blocks.17.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",632.1535034179688,231,432,692,1072,1212,1408,43.33367919921875,1.7235119342803955
base_model.model.backbone.stages.2.blocks.17.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.261797904968262,3,4,6,8,8,8,1.625955581665039,0.6033740043640137
base_model.model.backbone.stages.2.blocks.17.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.17.ffn.layers.1,ffn,"(1408, 5632)",628.8391723632812,231,432,692,1072,1212,1408,21.663352966308594,0.8638849258422852
base_model.model.backbone.stages.3.downsample.reduction,other,"(2816, 5632)",965.1135864257812,364,692,1138,1870,2188,2816,30.634319305419922,0.9860956072807312
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9587812423706055,1,1,2,2,2,2,13.172754287719727,9.412036895751953
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.cpb_mlp.2,other,"(64, 512)",37.15979766845703,13,23,36,53,58,64,4.617323875427246,0.7574494481086731
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.qkv.base_layer,qkv,"(8448, 2816)",1134.2825927734375,421,795,1288,2049,2348,2816,53.064117431640625,1.5755795240402222
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.qkv.lora_A.default,qkv,"(8, 2816)",7.329115867614746,3,4,6,8,8,8,1.626159906387329,0.6006720662117004
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.qkv.lora_B.default,qkv,"(8448, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.proj,proj,"(2816, 2816)",705.9019165039062,268,512,851,1436,1716,2816,30.643775939941406,1.1533738374710083
base_model.model.backbone.stages.3.blocks.0.ffn.layers.0.0.base_layer,ffn,"(11264, 2816)",1252.7994384765625,461,863,1382,2144,2424,2816,61.28120803833008,1.7313566207885742
base_model.model.backbone.stages.3.blocks.0.ffn.layers.0.0.lora_A.default,ffn,"(8, 2816)",7.457846641540527,3,4,6,8,8,8,1.631557583808899,0.5974419116973877
base_model.model.backbone.stages.3.blocks.0.ffn.layers.0.0.lora_B.default,ffn,"(11264, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.3.blocks.0.ffn.layers.1,ffn,"(2816, 11264)",1252.8243408203125,461,863,1383,2144,2424,2816,30.63831901550293,0.8656051754951477
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9810360670089722,1,1,2,2,2,2,13.086469650268555,9.297717094421387
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.cpb_mlp.2,other,"(64, 512)",36.88655090332031,13,24,36,53,58,64,4.616260528564453,0.7600747346878052
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.qkv.base_layer,qkv,"(8448, 2816)",1137.544921875,422,795,1289,2049,2348,2816,53.068695068359375,1.5734542608261108
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.qkv.lora_A.default,qkv,"(8, 2816)",7.417095184326172,3,4,6,8,8,8,1.6344887018203735,0.6001571416854858
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.qkv.lora_B.default,qkv,"(8448, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.proj,proj,"(2816, 2816)",708.1029663085938,268,512,851,1436,1716,2816,30.63079071044922,1.1510919332504272
base_model.model.backbone.stages.3.blocks.1.ffn.layers.0.0.base_layer,ffn,"(11264, 2816)",1252.3756103515625,461,863,1382,2144,2424,2816,61.279945373535156,1.7316138744354248
base_model.model.backbone.stages.3.blocks.1.ffn.layers.0.0.lora_A.default,ffn,"(8, 2816)",7.503567695617676,3,4,6,8,8,8,1.6380375623703003,0.5979845523834229
base_model.model.backbone.stages.3.blocks.1.ffn.layers.0.0.lora_B.default,ffn,"(11264, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.3.blocks.1.ffn.layers.1,ffn,"(2816, 11264)",1252.2965087890625,461,862,1382,2144,2424,2816,30.63856315612793,0.8657944202423096
base_model.model.classifier,other,"(45, 2816)",35.788482666015625,12,21,30,40,43,45,3.870251178741455,0.6469452381134033
